id,课程名,评论
75,微信小程序入门与实战  常用组件API开发技巧项目实战,这门课讲的确实不错，我都点怀疑是不是微信小程序团队的开发人员，或者就是赵小龙本人！！！哈哈，点个赞，想学小程序，这门课无疑是最好的选择
75,微信小程序入门与实战  常用组件API开发技巧项目实战,老师讲得很细腻，要听完一遍了，感觉老师是在用心教学，他不单单只是为了完成这个课程，更是在给我们讲人生，因为程序或许只是我们生活中的一部分，但是学编程就像是在学生活，bug在鼓励我们不要放弃他，就好像是我们生活的的一些不如意再告诉我们挺过去又是美好的一天。感谢老师对我们的鼓励和教导，给老师点n个赞
75,微信小程序入门与实战  常用组件API开发技巧项目实战,在慕课网看了这么多课程，最喜欢的老师，没有之一，授之以渔，不是授之以鱼。专门买了老师的书，结合起来看，很详细，避免了很多弯路
75,微信小程序入门与实战  常用组件API开发技巧项目实战,课程调理清晰，以实战电影详情及列表页等，让我这个菜鸟也能照着葫芦画个瓢耶！好老师，好课程。老师继续讲课，我还要听。
175,前端成长必经之路-组件化思维与技巧,一直以来对css的组织及复用感到很头疼，一旦有需求变动总会手动修改不少地方还容易出bug，写vue有一段时间了，总是对组件的抽象和项目的组织不太清晰，总感觉自己做的东西总是需要再优化，听了老师的项目组织思路，对项目的把控更加有心得了，之前也学过老师的es6课程，感觉同样帮帮哒，想能独当一面自己科学完整构建项目的同学不能错过老师的这门课程
175,前端成长必经之路-组件化思维与技巧,听老师的课程，受益匪浅，满满的干货，从跳槽面试的课程中学习到了很多平时不注意的点，很感谢老师的梳理，打算年后找工作，这门课老师讲的太详细了，听了很多遍，每次收获都不同，从项目构建到上线，模块化开发，这是以前都不怎么关注的，好期待后面的课程。老师热心的指导，群里小伙伴很积极，能学到很多知识，支持支持，赞赞！
175,前端成长必经之路-组件化思维与技巧,"做前端也有段时间了, css这块一直觉得没什么可提升的，但是看了老师的课程，对css这块有了新的了解，更深的认识，模块化的css可以让代码更精简，更灵活，这门课真的挺值。尤其是第三章和第四章，这两章节融合了老师多年的工作经验，老师把自己对整个项目架构的分析，模块化要注意到的点都很详细都告诉给大家，这些平时可不会有人来跟我们说这些，当然，后面章节更精彩，小伙伴们别犹豫啦，赶快来学习吧！"
175,前端成长必经之路-组件化思维与技巧,课程很棒，听完后受益匪浅，对组件化又有了新的认识，正在用学到的知识修改以前的项目，写起来效率确实高了很多。
175,前端成长必经之路-组件化思维与技巧,之前听了老师的前段跳槽面试技巧那门课，觉得受益颇多，满满的干活
175,前端成长必经之路-组件化思维与技巧,来慕课不长时间，第一次花钱买的就是老师的课，当时自己还在为面试苦恼，怎么自己实力这么差，面一个挂一个，看完老师的课程，才发现面试有这么多学问，这次老师出的新课，毫不犹豫就买了下来了（虽然还是个穷学生，虽然我是react的忠实有拥护者，但是还是买了，不为别的就是信任老师，哈哈，老师的水平可是杠杠滴^_^），刚看了不多，但是收获很多呀，比如：以前觉得css就是那么回事，但是听了课以后又对css有了一次新的认识，这就像一团乱麻，让你抓住了一个关键的头，你通过这个头所有的理顺，而且老师经常在群里和小伙伴们交流，特别亲切，等我毕业一定要找个机会和老师面基^_^哈哈希望老师不要嫌弃，不多说了，学习去了
